Company,Ticker,Price,Beta
"AGILENT TECHNOLOGIES, INC. (XNYS:A)",A,$126.24 ,1.27
ALCOA CORPORATION (XNYS:AA),AA,$31.96 ,2.21
AMERICAN AIRLINES GROUP INC. (XNAS:AAL),AAL,$12.71 ,1.4
ACADIAN ASSET MANAGEMENT INC. (XNYS:AAMI),AAMI,$47.71 ,1.42
"APPLIED OPTOELECTRONICS, INC. (XNAS:AAOI)",AAOI,$26.74 ,2.92
"AAON, INC. (XNAS:AAON)",AAON,$83.63 ,1.03
"ADVANCE AUTO PARTS, INC. (XNYS:AAP)",AAP,$60.67 ,1.11
APPLE INC. (XNAS:AAPL),AAPL,$228.62 ,1.08
"AMERICAN ASSETS TRUST, INC. (XNYS:AAT)",AAT,$20.79 ,1.26
ABBVIE INC. (XNYS:ABBV),ABBV,$219.13 ,0.49
AMERIS BANCORP (XNYS:ABCB),ABCB,$74.08 ,0.96
"ASBURY AUTOMOTIVE GROUP, INC. (XNYS:ABG)",ABG,$252.50 ,0.87
ABM INDUSTRIES INCORPORATED (XNYS:ABM),ABM,$46.70 ,0.8
"AIRBNB, INC. (XNAS:ABNB)",ABNB,$123.76 ,1.13
"ARBOR REALTY TRUST, INC. (XNYS:ABR)",ABR,$12.00 ,1.32
ABSCI CORPORATION (XNAS:ABSI),ABSI,$2.70 ,2.02
ABBOTT LABORATORIES (XNYS:ABT),ABT,$131.49 ,0.7
ARBUTUS BIOPHARMA CORPORATION (XNAS:ABUS),ABUS,$5.07 ,1.05
"ARCOSA, INC. (XNYS:ACA)",ACA,$97.63 ,1
ACADIA PHARMACEUTICALS INC. (XNAS:ACAD),ACAD,$24.08 ,0.79
ACCO BRANDS CORPORATION (XNYS:ACCO),ACCO,$4.08 ,1.39
ProFrac Holding Corp (XNAS:ACDC),ACDC,$3.88 ,1.64
"ACCEL ENTERTAINMENT, INC. (XNYS:ACEL)",ACEL,$11.27 ,1.11
ARCH CAPITAL GROUP LTD. (XNAS:ACGL),ACGL,$91.31 ,0.48
"ACADIA HEALTHCARE COMPANY, INC. (XNAS:ACHC)",ACHC,$22.07 ,0.89
ARCHER AVIATION INC. (XNYS:ACHR),ACHR,$8.61 ,3.07
"ACI WORLDWIDE, INC. (XNAS:ACIW)",ACI,$50.26 ,1.05
AMERICAN COASTAL INSURANCE CORPORATION (XNAS:ACIC),ACIC,$10.96 ,-0.39
"ACI WORLDWIDE, INC. (XNAS:ACIW)",ACIW,$50.26 ,1.05
"AXCELIS TECHNOLOGIES, INC. (XNAS:ACLS)",ACLS,$86.41 ,1.73
"ARCELLX, INC. (XNAS:ACLX)",ACLX,$75.65 ,0.27
AECOM (XNYS:ACM),ACM,$127.55 ,1.03
"ACM RESEARCH, INC. (XNAS:ACMR)",ACMR,$29.99 ,1.36
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN),ACN,$243.34 ,1.3
ACNB CORPORATION (XNAS:ACNB),ACNB,$45.00 ,0.94
ARES COMMERCIAL REAL ESTATE CORPORATION (XNYS:ACRE),ACRE,$4.89 ,1.37
"ENACT HOLDINGS, INC. (XNAS:ACT)",ACT,$39.20 ,0.57
ACACIA RESEARCH CORPORATION (XNAS:ACTG),ACTG,$3.23 ,0.63
ACV AUCTIONS INC. (XNYS:ACVA),ACVA,$10.40 ,1.68
ADAM,ADAM,#FIELD!,#FIELD!
ADOBE INC. (XNAS:ADBE),ADBE,$349.01 ,1.5
AGREE REALTY CORPORATION (XNYS:ADC),ADC,$73.25 ,0.56
ADC Therapeutics Ltd (XNYS:ADCT),ADCT,$3.32 ,1.95
ADEIA INC. (XNAS:ADEA),ADEA,$15.51 ,2.53
"ANALOG DEVICES, INC. (XNAS:ADI)",ADI,$247.70 ,1.1
ARCHER-DANIELS-MIDLAND COMPANY. (XNYS:ADM),ADM,$61.49 ,0.7
"ADMA BIOLOGICS, INC. (XNAS:ADMA)",ADMA,$16.23 ,0.5
ADIENT PUBLIC LIMITED COMPANY (XNYS:ADNT),ADNT,$24.39 ,1.79
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)",ADP,$295.57 ,0.84
ADAPTIVE BIOTECHNOLOGIES CORPORATION (XNAS:ADPT),ADPT,$13.54 ,2.05
PT Alamtri Resources Indonesia Tbk (XIDX:ADRO),ADRO," Rp1,680.00 ",1.63
"AUTODESK, INC. (XNAS:ADSK)",ADSK,$324.83 ,1.5
ADT INC. (XNYS:ADT),ADT,$8.80 ,1.06
"ADTRAN HOLDINGS, INC. (XNAS:ADTN)",ADTN,$10.37 ,1.38
ADDUS HOMECARE CORPORATION (XNAS:ADUS),ADUS,$111.96 ,0.86
Adtran Networks SE (XWBO:ADV),ADV,� 19.70,0.1
AEBI,AEBI,#FIELD!,#FIELD!
AEE,AEE,#FIELD!,#FIELD!
AEHR TEST SYSTEMS (XNAS:AEHR),AEHR,$28.14 ,2.47
"ADVANCED ENERGY INDUSTRIES, INC. (XNAS:AEIS)",AEIS,$158.37 ,1.53
"AMERICAN EAGLE OUTFITTERS, INC. (XNYS:AEO)",AEO,$19.27 ,1.52
"AMERICAN ELECTRIC POWER COMPANY, INC. (XNAS:AEP)",AEP,$108.65 ,0.47
THE AES CORPORATION (XNYS:AES),AES,$12.89 ,0.93
ATLAS ENERGY SOLUTIONS INC. (XNYS:AESI),AESI,$10.79 ,1.14
"AEVA TECHNOLOGIES, INC. (XNAS:AEVA)",AEVA,$15.87 ,2.04
Advanced Flower Capital Inc. (XNAS:AFCG),AFCG,$4.56 ,1.12
"AMERICAN FINANCIAL GROUP, INC. (XNYS:AFG)",AFG,$138.47 ,0.74
AFLAC INCORPORATED (XNYS:AFL),AFL,$108.17 ,0.85
"AFFIRM HOLDINGS, INC. (XNAS:AFRM)",AFRM,$81.89 ,3.65
AGCO CORPORATION (XNYS:AGCO),AGCO,$108.76 ,1.24
"AGIOS PHARMACEUTICALS, INC. (XNAS:AGIO)",AGIO,$36.43 ,0.82
"AGILON HEALTH, INC. (XNYS:AGL)",AGL,$1.05 ,0.11
FEDERAL AGRICULTURAL MORTGAGE CORPORATION (XNYS:AGM),AGM,$196.65 ,1.01
AGNC INVESTMENT CORP. (XNAS:AGNC),AGNC,$10.25 ,1.31
ASSURED GUARANTY LTD. (XNYS:AGO),AGO,$82.25 ,0.91
"ARGAN, INC. (XNYS:AGX)",AGX,$231.67 ,0.61
"AGILYSYS, INC. (XNAS:AGYS)",AGYS,$109.62 ,0.62
ADAPTHEALTH CORP. (XNAS:AHCO),AHCO,$9.53 ,1.64
"ARMADA HOFFLER PROPERTIES, INC. (XNYS:AHH)",AHH,$7.41 ,1.15
"AMERICAN HEALTHCARE REIT, INC. (XNYS:AHR)",AHR,$43.02 ,-0.15
"C3.AI, INC. (XNYS:AI)",AI,$16.15 ,1.95
"AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG)",AIG,$78.20 ,0.7
ALBANY INTERNATIONAL CORP. (XNYS:AIN),AIN,$60.91 ,1.4
"POWERFLEET, INC. (XNAS:AIOT)",AIOT,$5.35 ,1.3
"ARTERIS, INC. (XNAS:AIP)",AIP,$8.83 ,1.44
AAR CORP. (XNYS:AIR),AIR,$75.60 ,1.49
"APPLIED INDUSTRIAL TECHNOLOGIES, INC. (XNYS:AIT)",AIT,$268.52 ,0.97
