Ticker,Company,Price
CTNT,Cheetah Net Supply Chain Service Inc. (XNAS:CTNT),$0.04 
AREB,"AMERICAN REBEL HOLDINGS, INC (XNAS:AREB)",$0.06 
TDTH,Trident Digital Tech Holdings Ltd (XNAS:TDTH),$0.08 
LZMH,LZ TECHNOLOGY HOLDINGS LIMITED (XNAS:LZMH),$0.12 
MSS,MAISON SOLUTIONS INC. (XNAS:MSS),$0.12 
PPCB,"PROPANC BIOPHARMA, INC. (XNAS:PPCB)",$0.12 
SOWG,SOW GOOD INC. (XNAS:SOWG),$0.12 
MEHA,FUNCTIONAL BRANDS INC. (XNAS:MEHA),$0.13 
VRAX,Virax Biolabs Group Ltd (XNAS:VRAX),$0.14 
WGRX,"WELLGISTICS HEALTH, INC. (XNAS:WGRX)",$0.14 
ISPC,iSpecimen Inc (XNAS:ISPC),$0.15 
INHD,Inno Holdings Inc (XNAS:INHD),$0.17 
PASW,"Ping An Biomedical Co., Ltd. (XNAS:PASW)",$0.17 
CXAI,CXApp Inc. (XNAS:CXAI),$0.18 
KALA,"KALA BIO, INC. (XNAS:KALA)",$0.18 
ERNA,ERNEXA THERAPEUTICS INC. (XNAS:ERNA),$0.19 
EZRA,"RELIANCE GLOBAL GROUP, INC. (XNAS:EZRA)",$0.19 
NCRA,"NOCERA, INC. (XNAS:NCRA)",$0.20 
YMT,Yimutian Inc. (XNAS:YMT),$0.20 
GV,VISIONARY HOLDINGS INC (XNAS:GV),$0.21 
MGN,Megan Holdings Limited (XNAS:MGN),$0.21 
VEEE,Twin Vee PowerCats Co (XNAS:VEEE),$0.21 
ASBP,"ASPIRE BIOPHARMA HOLDINGS, INC. (XNAS:ASBP)",$0.22 
LIMN,"LIMINATUS PHARMA, INC. (XNAS:LIMN)",$0.22 
BRTX,"BIORESTORATIVE THERAPIES, INC. (XNAS:BRTX)",$0.23 
DAIC,"CID HOLDCO, INC. (XNAS:DAIC)",$0.23 
VSEE,"VSEE HEALTH, INC. (XNAS:VSEE)",$0.23 
FCHL,FITNESS CHAMPS HOLDINGS LIMITED (XNAS:FCHL),$0.24 
NAKA,Nakamoto Inc (XNAS:NAKA),$0.24 
LMFA,"LM FUNDING AMERICA, INC. (XNAS:LMFA)",$0.26 
SGMO,"SANGAMO THERAPEUTICS, INC. (XNAS:SGMO)",$0.26 
SMTK,"SMARTKEM, INC. (XNAS:SMTK)",$0.26 
TLIH,Ten-League International Holdings Limited (XNAS:TLIH),$0.26 
YMAT,"J-Star Holding Co., Ltd. (XNAS:YMAT)",$0.26 
ILLR,TRILLER GROUP INC. (XNAS:ILLR),$0.27 
LHSW,Lianhe Sowell International Group Ltd (XNAS:LHSW),$0.27 
AIRE,REALPHA TECH CORP. (XNAS:AIRE),$0.28 
BTOC,ARMLOGI HOLDING CORP. (XNAS:BTOC),$0.28 
CISO,CISO GLOBAL INC. (XNAS:CISO),$0.28 
GIPR,"GENERATION INCOME PROPERTIES, INC. (XNAS:GIPR)",$0.28 
IPST,IP STRATEGY HOLDINGS INC. (XNAS:IPST),$0.29 
IVDA,"IVEDA SOLUTIONS, INC. (XNAS:IVDA)",$0.29 
OTLK,"OUTLOOK THERAPEUTICS, INC. (XNAS:OTLK)",$0.29 
ITOC,iTonic Holdings Ltd (XNAS:ITOC),$0.30 
NOTV,"INOTIV, INC. (XNAS:NOTV)",$0.30 
ADTX,"ADITXT, INC. (XNAS:ADTX)",$0.31 
CUPR,Cuprina Holdings (Cayman) LTD (XNAS:CUPR),$0.31 
UK,Ucommune International Ltd (XNAS:UK),$0.31 
LNAI,"LUNAI BIOWORKS, INC. (XNAS:LNAI)",$0.32 
MIMI,Mint Incorporation Limited (XNAS:MIMI),$0.32 
MREO,MEREO BIOPHARMA GROUP PLC (XNAS:MREO),$0.32 
ZOOZ,ZOOZ STRATEGY LTD (XNAS:ZOOZ),$0.32 
GLE,GLOBAL ENGINE GROUP HOLDING LIMITED (XNAS:GLE),$0.34 
IMCC,IM CANNABIS CORP. (XNAS:IMCC),$0.34 
MDCX,MEDICUS PHARMA LTD. (XNAS:MDCX),$0.34 
BGM,BGM Group Ltd (XNAS:BGM),$0.35 
KWM,K Wave Media Ltd. (XNAS:KWM),$0.35 
CDTG,CDT ENVIRONMENTAL TECHNOLOGY INVESTMENT HOLDINGS LIMITED (XNAS:CDTG),$0.36 
CPOP,"POP CULTURE GROUP CO., LTD (XNAS:CPOP)",$0.36 
FTRK,Fast Track Entertainment (XNAS:FTRK),$0.36 
ICCM,ICECURE MEDICAL LTD (XNAS:ICCM),$0.36 
TANH,Tantech Holdings Ltd (XNAS:TANH),$0.36 
TGHL,THE GROWHUB LIMITED (XNAS:TGHL),$0.36 
AMIX,"AUTONOMIX MEDICAL, INC. (XNAS:AMIX)",$0.37 
COSM,COSMOS HEALTH INC. (XNAS:COSM),$0.37 
